10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
40.948,9.99,120.697,41.483,19.95,199.431,41.218,30.02,261.637,,,,,,,,,
41.313,9.99,109.553,41.849,20.04,198.18,41.622,30.02,258.234,,,,,,,,,
41.672,9.97,118.551,42.25,20.02,209.278,41.989,30.06,260.77,,,,,,,,,
42.059,10,108.313,42.641,20.06,197.489,42.348,29.92,261.542,,,,,,,,,
42.425,10,117.367,43.03,20.05,196.343,42.753,29.93,259.81,,,,,,,,,
42.827,10.02,109.388,43.436,19.93,194.238,43.154,29.95,260.644,,,,,,,,,
43.192,10.02,111.432,43.8,19.94,207.95,43.521,29.94,262.637,,,,,,,,,
43.552,10.01,114.894,44.158,19.98,206.015,43.878,30.05,256.652,,,,,,,,,
43.929,10,112.705,44.52,20,201.12,44.253,30.07,266.125,,,,,,,,,
44.295,10.01,111.684,44.911,20.1,209.927,44.644,30.04,259.118,,,,,,,,,
44.653,10.01,111.568,45.3,20.03,197.994,45.025,30.01,260.077,,,,,,,,,
45.031,10.01,117.158,45.663,20,194.461,45.384,30,264.269,,,,,,,,,
45.434,10.01,111.589,46.067,19.94,202.29,45.787,30.03,260.783,,,,,,,,,
45.8,10,117.268,46.434,19.99,210.949,46.153,30,256.923,,,,,,,,,
46.159,9.98,118.196,46.793,19.98,194.197,46.513,30.16,252.489,,,,,,,,,
46.546,9.98,117.466,47.166,19.97,200.015,46.888,30.13,256.673,,,,,,,,,
46.909,10.02,111.547,47.534,20,194.014,47.254,30.08,255.509,,,,,,,,,
47.315,10,114.024,47.894,19.97,205.994,47.613,29.93,256.652,,,,,,,,,
47.678,10,115.868,48.254,20.07,208.906,47.988,29.79,259.762,,,,,,,,,
48.039,10,118.407,48.62,20.07,205.929,48.393,29.91,254.336,,,,,,,,,
48.415,10.01,117.367,49.006,19.98,191.094,48.759,29.95,249.54,,,,,,,,,
