2V Data,,,,4V Data,,,,6V Data,,,,8V Data,,,,10V Data,,,,12V Data,,,,,,,,
Time,Amps,Volts,Torque 2V (N � m),Time,Amps,Volts,Torque 4V (N � m),Time,Amps,Volts,Torque 6V (N � m),Time,Amps,Volts,Torque 8V (N � m),Time,Amps,Volts,Torque 10V (N � m),Time,Amps,Volts,Torque 12V (N � m),,,,,
0.001,0.76,2,0.037,0.005,1.5,4.001,0.066,0,4.66,6.001,0.109,0,6.19,8.002,0.121,0.001,2.39,10.001,0.157,0.004,8.07,12,0.2,,Stall Torque @ 2V,0,0.037,0.04
0.417,1.56,2,0.036,0.42,3.47,4.001,0.065,0.365,4.84,6.001,0.108,0.365,6.34,8.001,0.121,0.416,9,10.001,0.154,0.404,11.37,12,0.197,,Stall Torque @ 4V,0,0.066,0.07
0.805,1.57,2,0.036,0.822,3.47,4.001,0.064,0.77,4.84,6.001,0.108,0.781,6.35,8.002,0.121,0.8,9.02,10.001,0.153,0.768,11.26,12,0.195,,Stall Torque @ 6V,0,0.109,0.11
1.187,1.57,2,0.036,1.199,3.48,4.001,0.064,1.171,4.83,6.001,0.107,1.198,6.37,8.002,0.121,1.17,9.01,10.001,0.152,1.179,11.16,12,0.193,,Stall Torque @ 7.2V,0,0,0
1.602,1.57,2,0.036,1.599,3.47,4.001,0.064,1.547,4.82,6.001,0.106,1.563,6.37,8.001,0.121,1.573,8.99,10.001,0.152,1.578,11.04,12,0.191,,Stall Torque @ 8V,0,0.121,0.12
1.948,1.57,2,0.036,1.984,3.46,4.001,0.063,1.931,4.81,6.001,0.106,1.958,6.35,8.001,0.12,1.93,9.04,10.001,0.152,1.932,10.94,12,0.191,,Stall Torque @ 10V,0,0.157,0.16
2.306,1.57,2,0.036,2.361,3.46,4.001,0.064,2.281,4.8,6.001,0.106,2.308,6.32,8.001,0.12,2.28,9.03,10.001,0.152,2.281,10.83,12,0.189,,Stall Torque @ 12V,0,0.2,0.2
2.681,1.57,2,0.036,2.711,3.46,4.001,0.063,2.631,4.78,6.001,0.105,2.657,6.3,8.002,0.12,2.629,8.98,10.001,0.151,2.629,10.74,12,0.188,,,,,
3.03,1.57,2,0.036,3.058,3.45,4.001,0.063,2.98,4.78,6.001,0.105,3.006,6.27,8.001,0.119,3.004,8.9,10.001,0.15,2.979,10.64,12,0.187,,,,,
3.379,1.57,2,0.036,3.433,3.44,4.001,0.063,3.328,4.77,6.001,0.105,3.382,6.24,8.001,0.119,3.354,8.84,10.001,0.15,3.357,10.55,12,0.186,,,,,
3.73,1.57,2,0.035,3.784,3.44,4.001,0.063,3.689,4.77,6.001,0.105,3.73,6.21,8.002,0.119,3.704,8.78,10.001,0.149,3.705,10.46,12,0.184,,,,,
4.078,1.57,2,0.035,4.133,3.43,4.001,0.063,4.045,4.75,6.001,0.104,4.081,6.18,8.002,0.118,4.053,8.71,10.001,0.148,4.055,10.36,12,0.183,,,,,
4.453,1.57,2,0.035,4.482,3.42,4.001,0.062,4.403,4.74,6.001,0.104,4.428,6.16,8.002,0.118,4.401,8.66,10.001,0.148,4.404,10.26,12,0.182,,,,,
4.803,1.57,2,0.035,4.831,3.42,4.001,0.063,4.753,4.74,6.001,0.104,4.778,6.13,8.002,0.118,4.762,8.6,10.001,0.148,4.754,10.17,12,0.18,,,,,
5.153,1.57,2,0.035,5.206,3.41,4.001,0.062,5.102,4.73,6.001,0.104,5.153,6.1,8.002,0.117,5.143,8.55,10.001,0.147,5.102,10.09,12,0.179,,,,,
5.502,1.57,2,0.035,5.556,3.41,4.001,0.062,5.452,4.73,6.001,0.104,5.502,6.07,8.001,0.117,5.503,8.5,10.001,0.147,5.478,10,12,0.178,,,,,
5.851,1.57,2,0.035,5.905,3.4,4.001,0.062,5.827,4.72,6.001,0.103,5.852,6.05,8.001,0.117,5.864,8.44,10.001,0.146,5.828,9.92,12,0.177,,,,,
6.227,1.57,2,0.035,6.254,3.4,4.001,0.062,6.177,4.71,6.001,0.103,6.2,6.03,8.001,0.117,6.218,8.4,10.001,0.146,6.177,9.85,12,0.176,,,,,
6.575,1.57,2,0.035,6.603,3.39,4.001,0.062,6.525,4.7,6.001,0.103,6.549,6.01,8.002,0.117,6.579,8.36,10.001,0.146,6.525,9.78,12,0.175,,,,,
6.926,1.57,2,0.035,6.981,3.38,4.001,0.062,6.875,4.7,6.001,0.103,6.926,5.98,8.001,0.116,6.928,8.31,10.001,0.146,6.875,9.7,12,0.173,,,,,
7.273,1.57,2,0.035,7.33,3.38,4.001,0.062,7.224,4.69,6.001,0.102,7.274,5.96,8.001,0.116,7.276,8.28,10.001,0.146,7.251,9.63,12,0.173,,,,,
7.625,1.57,2,0.035,7.679,3.38,4.001,0.061,7.573,4.69,6.001,0.102,7.623,5.94,8.001,0.116,7.653,8.24,10.001,0.145,7.6,9.56,12,0.171,,,,,
7.973,1.57,2,0.035,8.027,3.37,4.001,0.061,7.949,4.68,6.001,0.102,7.973,5.93,8.002,0.116,8.002,8.19,10.001,0.145,7.951,9.49,12,0.17,,,,,
8.349,1.57,2,0.035,8.377,3.36,4.001,0.061,8.297,4.67,6.001,0.102,8.322,5.91,8.002,0.115,8.352,8.15,10.001,0.145,8.298,9.42,12,0.169,,,,,
8.697,1.57,2,0.035,8.725,3.36,4.001,0.061,8.647,4.66,6.001,0.102,8.673,5.9,8.001,0.115,8.699,8.12,10.001,0.144,8.649,9.36,12,0.168,,,,,
9.047,1.57,2,0.035,9.103,3.36,4.001,0.062,8.994,4.66,6.001,0.102,9.048,5.88,8.002,0.115,9.049,8.08,10.001,0.144,8.998,9.28,12,0.167,,,,,
9.397,1.57,2,0.035,9.452,3.35,4.001,0.062,9.37,4.66,6.001,0.102,9.397,5.87,8.002,0.115,9.398,8.05,10.001,0.144,9.374,9.2,12,0.166,,,,,
9.746,1.57,2,0.035,9.801,3.35,4.001,0.061,9.721,4.65,6.001,0.101,9.745,5.85,8.002,0.115,9.774,8.02,10.001,0.144,9.722,9.13,12,0.166,,,,,
10.095,1.57,2,0.035,10.149,3.35,4.001,0.061,10.07,4.65,6.001,0.101,10.094,5.84,8.001,0.115,10.123,7.98,10.001,0.143,10.072,9.11,12,0.164,,,,,
10.469,1.57,2,0.035,10.498,3.34,4.001,0.061,10.418,4.64,6.001,0.101,10.445,5.82,8.001,0.115,10.472,7.95,10.001,0.143,10.422,9.07,12,0.164,,,,,
10.82,1.57,2,0.035,10.848,3.34,4.001,0.061,10.768,4.63,6.001,0.101,10.821,5.81,8.002,0.114,10.82,7.93,10.001,0.142,10.797,9.03,12,0.164,,,,,
11.168,1.57,2,0.035,11.223,3.34,4.001,0.061,11.117,4.63,6.001,0.101,11.169,5.79,8.002,0.114,11.197,7.9,10.001,0.142,11.146,8.99,12,0.162,,,,,
11.518,1.57,2,0.035,11.573,3.33,4.001,0.061,11.493,4.62,6.001,0.101,11.519,5.78,8.001,0.114,11.546,7.86,10.001,0.142,11.495,8.96,12,0.162,,,,,
11.865,1.57,2,0.035,11.921,3.33,4.001,0.061,11.841,4.62,6.001,0.101,11.868,5.77,8.001,0.114,11.895,7.85,10.001,0.141,11.845,8.92,12,0.162,,,,,
12.241,1.57,2,0.035,12.272,3.33,4.001,0.061,12.192,4.61,6.001,0.1,12.218,5.76,8.002,0.114,12.244,7.82,10.001,0.141,12.195,8.87,12,0.161,,,,,
12.591,1.57,2,0.035,12.619,3.32,4.001,0.061,12.541,4.61,6.001,0.1,12.567,5.75,8.002,0.114,12.593,7.8,10.001,0.14,12.543,8.83,12,0.16,,,,,
12.94,1.57,2,0.035,12.995,3.32,4.001,0.061,12.889,4.6,6.001,0.1,12.942,5.73,8.001,0.114,12.943,7.77,10.001,0.14,12.92,8.79,12,0.16,,,,,
13.29,1.57,2,0.035,13.344,3.32,4.001,0.06,13.238,4.6,6.001,0.1,13.29,5.72,8.001,0.113,13.319,7.74,10.001,0.14,13.269,8.74,12,0.159,,,,,
13.665,1.57,2,0.035,13.693,3.31,4.001,0.061,13.616,4.59,6.001,0.1,13.64,5.71,8.001,0.113,13.668,7.71,10.001,0.14,13.619,8.72,12,0.159,,,,,
14.015,1.57,2,0.035,14.042,3.31,4.001,0.061,13.963,4.59,6.001,0.099,13.989,5.71,8.001,0.113,14.018,7.69,10.001,0.139,13.967,8.69,12,0.158,,,,,
14.364,1.57,2,0.034,14.392,3.3,4.001,0.061,14.314,4.58,6.001,0.099,14.365,5.69,8.002,0.113,14.366,7.67,10.001,0.139,14.316,8.65,12,0.157,,,,,
14.712,1.57,2,0.034,14.768,3.3,4.001,0.061,14.662,4.58,6.001,0.099,14.713,5.68,8.002,0.113,14.715,7.64,10.001,0.139,14.665,8.63,12,0.157,,,,,
15.063,1.57,2,0.034,15.116,3.3,4.001,0.061,15.012,4.57,6.001,0.099,15.063,5.67,8.001,0.112,15.075,7.62,10.001,0.138,15.042,8.64,12,0.157,,,,,
15.412,1.57,2,0.035,15.466,3.3,4.001,0.061,15.388,4.56,6.001,0.099,15.411,5.67,8.001,0.112,15.431,7.6,10.001,0.138,15.392,8.61,12,0.157,,,,,
15.788,1.57,2,0.035,15.815,3.3,4.001,0.06,15.737,4.56,6.001,0.099,15.761,5.65,8.001,0.112,15.79,7.59,10.001,0.138,15.74,8.6,12,0.156,,,,,
16.137,1.57,2,0.035,16.165,3.29,4.001,0.06,16.086,4.56,6.001,0.099,16.11,5.65,8.002,0.112,16.14,7.57,10.001,0.137,16.09,8.58,12,0.156,,,,,
16.488,1.57,2,0.034,16.541,3.29,4.001,0.06,16.435,4.55,6.001,0.099,16.485,5.64,8.001,0.112,16.489,7.55,10.001,0.137,16.44,8.55,12,0.156,,,,,
16.836,1.57,2,0.035,16.889,3.29,4.001,0.061,16.785,4.55,6.001,0.099,16.835,5.63,8.001,0.112,16.865,7.53,10.001,0.137,16.788,8.52,12,0.155,,,,,
17.186,1.57,2,0.035,17.24,3.29,4.001,0.06,17.161,4.54,6.001,0.098,17.185,5.62,8.001,0.112,17.214,7.51,10.001,0.136,17.163,8.5,12,0.154,,,,,
17.534,1.57,2,0.035,17.587,3.28,4.001,0.06,17.511,4.54,6.001,0.098,17.533,5.61,8.001,0.112,17.562,7.49,10.001,0.136,17.513,8.47,12,0.154,,,,,
17.911,1.56,2,0.035,17.938,3.28,4.001,0.06,17.859,4.54,6.001,0.098,17.883,5.61,8.001,0.112,17.912,7.47,10.001,0.136,17.862,8.47,12,0.154,,,,,
18.26,1.57,2,0.035,18.286,3.27,4.001,0.06,18.208,4.53,6.001,0.098,18.232,5.6,8.001,0.111,18.26,7.46,10.001,0.136,18.212,8.47,12,0.154,,,,,
18.609,1.57,2,0.035,18.663,3.27,4.001,0.06,18.557,4.52,6.001,0.097,18.608,5.58,8.001,0.111,18.636,7.44,10.001,0.135,18.561,8.44,12,0.153,,,,,
18.958,1.57,2,0.035,19.012,3.27,4.001,0.06,18.933,4.52,6.001,0.097,18.956,5.58,8.001,0.111,18.985,7.43,10.001,0.135,18.936,8.41,12,0.153,,,,,
19.307,1.56,2,0.034,19.361,3.26,4.001,0.06,19.282,4.52,6.001,0.098,19.307,5.57,8.002,0.111,19.333,7.42,10.001,0.135,19.285,8.38,12,0.152,,,,,
19.682,1.57,2,0.035,19.711,3.26,4.001,0.06,19.631,4.51,6.001,0.097,19.656,5.56,8.001,0.111,19.683,7.41,10.001,0.135,19.635,8.36,12,0.152,,,,,
20.03,1.56,2,0.035,20.06,3.26,4.001,0.06,19.979,4.51,6.001,0.098,20.006,5.56,8.001,0.111,20.032,7.39,10.001,0.134,19.984,8.35,12,0.152,,,,,
20.381,1.57,2,0.035,20.435,3.25,4.001,0.06,20.331,4.51,6.001,0.097,20.382,5.56,8.001,0.111,20.408,7.38,10.001,0.134,20.332,8.32,12,0.151,,,,,
20.73,1.57,2,0.035,20.784,3.24,4.001,0.06,20.706,4.51,6.001,0.097,20.731,5.55,8.001,0.111,20.758,7.37,10.001,0.134,20.709,8.31,12,0.151,,,,,
21.08,1.56,2,0.034,21.134,3.24,4.001,0.06,21.054,4.5,6.001,0.097,21.079,5.55,8.001,0.111,21.107,7.35,10.001,0.134,21.057,8.29,12,0.151,,,,,
21.454,1.56,2,0.035,21.482,3.24,4.001,0.06,21.405,4.5,6.001,0.097,21.429,5.54,8.001,0.11,21.456,7.34,10.001,0.133,21.407,8.28,12,0.151,,,,,
21.802,1.56,2,0.035,21.832,3.24,4.001,0.06,21.753,4.49,6.001,0.097,21.779,5.53,8.002,0.11,21.804,7.32,10.001,0.133,21.756,8.26,12,0.151,,,,,
22.153,1.57,2,0.035,22.207,3.23,4.001,0.059,22.102,4.49,6.001,0.097,22.154,5.53,8.001,0.11,22.164,7.31,10.001,0.133,22.106,8.24,12,0.15,,,,,
22.502,1.57,2,0.035,22.556,3.23,4.001,0.06,22.452,4.48,6.001,0.097,22.504,5.52,8.001,0.11,22.546,7.3,10.001,0.133,22.455,8.24,12,0.15,,,,,
22.851,1.56,2,0.035,22.905,3.23,4.001,0.06,22.811,4.47,6.001,0.097,22.852,5.51,8.001,0.11,22.906,7.29,10.001,0.133,22.803,8.22,12,0.15,,,,,
23.227,1.56,2,0.034,23.254,3.22,4.001,0.06,23.167,4.47,6.001,0.096,23.202,5.51,8.001,0.11,23.283,7.28,10.001,0.132,23.181,8.22,12,0.149,,,,,
23.575,1.56,2,0.034,23.604,3.22,4.001,0.06,23.526,4.47,6.001,0.096,23.55,5.5,8.001,0.11,23.631,7.27,10.001,0.132,23.529,8.18,12,0.149,,,,,
23.924,1.56,2,0.035,23.979,3.22,4.001,0.059,23.875,4.46,6.001,0.096,23.926,5.49,8.002,0.11,23.981,7.26,10.001,0.132,23.879,8.18,12,0.149,,,,,
24.275,1.56,2,0.034,24.329,3.22,4.001,0.06,24.224,4.46,6.001,0.096,24.275,5.49,8.001,0.11,24.329,7.25,10.001,0.132,24.228,8.16,12,0.148,,,,,
24.623,1.56,2,0.034,24.679,3.22,4.001,0.06,24.574,4.45,6.001,0.096,24.625,5.48,8.001,0.11,24.68,7.23,10.001,0.131,24.577,8.15,12,0.148,,,,,
24.973,1.56,2,0.034,25.027,3.21,4.001,0.059,24.933,4.45,6.001,0.096,24.973,5.47,8.002,0.11,25.055,7.22,10.001,0.131,24.952,8.14,12,0.148,,,,,
25.349,1.56,2,0.034,25.377,3.21,4.001,0.059,25.29,4.45,6.001,0.096,25.322,5.47,8.001,0.109,25.404,7.21,10.001,0.131,25.303,8.11,12,0.148,,,,,
25.698,1.56,2,0.034,25.726,3.2,4.001,0.059,25.649,4.45,6.001,0.096,25.682,5.47,8.002,0.109,25.752,7.2,10.001,0.131,25.652,8.1,12,0.147,,,,,
26.047,1.56,2,0.035,26.102,3.2,4.001,0.06,25.998,4.45,6.001,0.096,26.064,5.46,8.001,0.109,26.102,7.19,10.001,0.131,26.002,8.08,12,0.147,,,,,
26.396,1.56,2,0.034,26.452,3.2,4.001,0.059,26.347,4.45,6.001,0.095,26.423,5.45,8.001,0.109,26.451,7.19,10.001,0.131,26.351,8.07,12,0.147,,,,,
26.745,1.56,2,0.034,26.801,3.2,4.001,0.059,26.737,4.45,6.001,0.096,26.8,5.45,8.001,0.109,26.827,7.18,10.001,0.13,26.699,8.04,12,0.146,,,,,
27.104,1.56,2,0.034,27.15,3.19,4.001,0.059,27.097,4.44,6.001,0.096,27.149,5.44,8.001,0.109,27.176,7.16,10.001,0.13,27.077,8.03,12,0.146,,,,,
27.461,1.56,2,0.034,27.5,3.19,4.001,0.059,27.473,4.44,6.001,0.096,27.498,5.44,8.001,0.109,27.525,7.15,10.001,0.13,27.425,8,12,0.146,,,,,
27.82,1.56,2,0.035,27.876,3.18,4.001,0.059,27.823,4.44,6.001,0.096,27.848,5.43,8.001,0.109,27.874,7.15,10.001,0.13,27.775,7.99,12,0.145,,,,,
28.169,1.56,2,0.034,28.224,3.18,4.001,0.059,28.172,4.43,6.001,0.095,28.197,5.42,8.001,0.109,28.223,7.14,10.001,0.129,28.123,7.95,12,0.145,,,,,
28.518,1.56,2,0.034,28.574,3.18,4.001,0.059,28.521,4.43,6.001,0.095,28.546,5.42,8.001,0.108,28.573,7.12,10.001,0.129,28.473,7.96,12,0.145,,,,,
28.893,1.56,2,0.034,28.922,3.18,4.001,0.059,28.87,4.43,6.001,0.095,28.921,5.42,8.002,0.108,28.948,7.11,10.001,0.129,28.849,7.93,12,0.145,,,,,
29.242,1.56,2,0.034,29.273,3.18,4.001,0.059,29.228,4.42,6.001,0.095,29.27,5.41,8.002,0.108,29.298,7.11,10.001,0.129,29.197,7.91,12,0.145,,,,,
29.592,1.56,2,0.034,29.647,3.17,4.001,0.059,29.612,4.42,6.001,0.095,29.619,5.4,8.001,0.108,29.648,7.09,10.001,0.129,29.547,7.92,12,0.144,,,,,
29.942,1.56,2,0.034,29.997,3.17,4.001,0.059,29.972,4.42,6.001,0.095,29.969,5.4,8.001,0.108,29.996,7.09,10.001,0.129,29.896,7.93,12,0.144,,,,,
30.29,1.56,2,0.034,30.344,3.17,4.001,0.059,30.322,4.41,6.001,0.095,30.317,5.39,8.001,0.108,30.346,7.08,10.001,0.128,30.245,7.93,12,0.144,,,,,
30.666,1.56,2,0.034,30.696,3.16,4.001,0.059,30.697,4.41,6.001,0.095,30.693,5.39,8.002,0.108,30.705,7.08,10.001,0.129,30.621,7.9,12,0.144,,,,,
31.015,1.55,2,0.034,31.044,3.16,4.001,0.059,31.045,4.41,6.001,0.095,31.042,5.39,8.001,0.108,31.061,7.07,10.001,0.128,30.972,7.89,12,0.144,,,,,
31.363,1.56,2,0.034,31.421,3.16,4.001,0.059,31.395,4.41,6.001,0.095,31.391,5.38,8.001,0.108,31.419,7.05,10.001,0.128,31.32,7.89,12,0.144,,,,,
31.713,1.55,2,0.034,31.769,3.16,4.001,0.059,31.743,4.4,6.001,0.095,31.74,5.37,8.001,0.108,31.77,7.05,10.001,0.128,31.669,7.88,12,0.143,,,,,
32.089,1.56,2,0.034,32.118,3.16,4.001,0.059,32.092,4.4,6.001,0.095,32.116,5.37,8.001,0.108,32.119,7.04,10.001,0.128,32.019,7.86,12,0.143,,,,,
32.439,1.55,2,0.034,32.467,3.15,4.001,0.059,32.468,4.4,6.001,0.095,32.466,5.36,8.001,0.108,32.468,7.03,10.001,0.127,32.368,7.87,12,0.143,,,,,
32.788,1.56,2,0.034,32.816,3.15,4.001,0.059,32.816,4.4,6.001,0.095,32.815,5.36,8.001,0.107,32.828,7.03,10.001,0.127,32.744,7.85,12,0.142,,,,,
33.137,1.56,2,0.034,33.192,3.15,4.001,0.059,33.167,4.39,6.001,0.095,33.164,5.36,8.001,0.107,33.182,7.02,10.001,0.127,33.094,7.79,12,0.142,,,,,
33.486,1.56,2,0.034,33.541,3.15,4.001,0.059,33.516,4.39,6.001,0.095,33.512,5.35,8.002,0.107,33.542,7.01,10.001,0.127,33.443,7.81,12,0.142,,,,,
33.834,1.56,2,0.034,33.89,3.15,4.001,0.059,33.892,4.39,6.001,0.095,33.862,5.35,8.001,0.107,33.89,7,10.001,0.126,33.791,7.81,12,0.142,,,,,
34.212,1.55,2,0.034,34.24,3.15,4.001,0.059,34.241,4.38,6.001,0.095,34.24,5.34,8.001,0.108,34.266,6.98,10.001,0.127,34.141,7.81,12,0.142,,,,,
34.56,1.55,2,0.034,34.589,3.14,4.001,0.058,34.591,4.38,6.001,0.094,34.587,5.34,8.001,0.107,34.616,6.98,10.001,0.126,34.489,7.79,12,0.142,,,,,
34.91,1.55,2,0.034,34.965,3.14,4.001,0.059,34.94,4.38,6.001,0.094,34.937,5.33,8.002,0.107,34.965,6.98,10.001,0.126,34.866,7.76,12,0.142,,,,,
35.259,1.55,2,0.034,35.314,3.14,4.001,0.059,35.289,4.38,6.001,0.094,35.286,5.33,8.001,0.107,35.314,6.97,10.001,0.126,35.215,7.78,12,0.142,,,,,
35.608,1.55,2,0.034,35.664,3.14,4.001,0.059,35.638,4.37,6.001,0.094,35.635,5.32,8.001,0.107,35.663,6.97,10.001,0.126,35.565,7.78,12,0.141,,,,,
35.984,1.55,2,0.034,36.012,3.13,4.001,0.059,36.016,4.37,6.001,0.094,36.012,5.32,8.001,0.107,36.022,6.96,10.001,0.126,35.914,7.78,12,0.141,,,,,
36.334,1.55,2,0.034,36.363,3.13,4.001,0.058,36.364,4.37,6.001,0.094,36.36,5.32,8.002,0.107,36.387,6.95,10.001,0.126,36.264,7.77,12,0.141,,,,,
36.682,1.55,2,0.034,36.711,3.13,4.001,0.058,36.714,4.37,6.001,0.094,36.71,5.31,8.001,0.107,36.738,6.94,10.001,0.126,36.612,7.77,12,0.141,,,,,
37.032,1.55,2,0.034,37.087,3.13,4.001,0.059,37.062,4.37,6.001,0.094,37.06,5.31,8.001,0.107,37.086,6.94,10.001,0.126,36.987,7.75,12,0.141,,,,,
37.381,1.55,2,0.034,37.436,3.13,4.001,0.058,37.411,4.36,6.001,0.094,37.409,5.31,8.001,0.107,37.435,6.93,10.001,0.125,37.337,7.69,12,0.14,,,,,
37.73,1.55,2,0.034,37.785,3.13,4.001,0.059,37.76,4.36,6.001,0.094,37.758,5.3,8.001,0.107,37.784,6.93,10.001,0.126,37.685,7.72,12,0.141,,,,,
38.106,1.55,2,0.034,38.134,3.12,4.001,0.059,38.137,4.36,6.001,0.094,38.134,5.29,8.001,0.107,38.144,6.92,10.001,0.125,38.036,7.71,12,0.14,,,,,
38.454,1.55,2,0.034,38.484,3.12,4.001,0.058,38.485,4.36,6.001,0.094,38.482,5.29,8.001,0.106,38.527,6.91,10.001,0.125,38.382,7.68,12,0.14,,,,,
38.805,1.55,2,0.034,38.86,3.12,4.001,0.058,38.835,4.36,6.001,0.094,38.832,5.29,8.001,0.107,38.886,6.91,10.001,0.125,38.76,7.7,12,0.14,,,,,
39.153,1.55,2,0.034,39.207,3.12,4.001,0.058,39.183,4.36,6.001,0.094,39.18,5.29,8.002,0.106,39.261,6.91,10.001,0.125,39.109,7.66,12,0.139,,,,,
39.529,1.55,2,0.034,39.559,3.12,4.001,0.058,39.532,4.35,6.001,0.094,39.555,5.28,8.002,0.106,39.611,6.9,10.001,0.125,39.458,7.64,12,0.14,,,,,
39.877,1.55,2,0.034,39.906,3.12,4.001,0.058,39.91,4.35,6.001,0.094,39.906,5.28,8.002,0.106,39.959,6.9,10.001,0.125,39.807,7.64,12,0.139,,,,,
40.228,1.55,2,0.034,40.256,3.12,4.001,0.058,40.258,4.34,6.001,0.094,40.254,5.27,8.001,0.107,40.309,6.89,10.001,0.125,40.166,7.64,12,0.139,,,,,
40.576,1.55,2,0.034,40.631,3.12,4.001,0.058,40.608,4.34,6.001,0.094,40.604,5.27,8.001,0.106,40.659,6.89,10.001,0.124,40.549,7.64,12,0.139,,,,,
40.925,1.55,2,0.034,40.98,3.11,4.001,0.059,40.956,4.34,6.001,0.094,40.953,5.26,8.001,0.106,41.035,6.89,10.001,0.124,40.91,7.64,12,0.139,,,,,
41.301,1.55,2,0.034,41.33,3.11,4.001,0.058,41.305,4.34,6.001,0.094,41.328,5.25,8.001,0.106,41.384,6.88,10.001,0.124,41.258,7.63,12,0.139,,,,,
41.65,1.55,2,0.034,41.68,3.11,4.001,0.059,41.654,4.34,6.001,0.093,41.678,5.25,8.002,0.106,41.733,6.88,10.001,0.124,41.634,7.64,12,0.138,,,,,
41.999,1.55,2,0.034,42.03,3.11,4.001,0.058,42.029,4.33,6.001,0.093,42.027,5.25,8.001,0.106,42.082,6.87,10.001,0.124,41.984,7.6,12,0.139,,,,,
42.348,1.55,2,0.034,42.404,3.11,4.001,0.059,42.38,4.33,6.001,0.093,42.377,5.24,8.001,0.106,42.431,6.86,10.001,0.124,42.334,7.61,12,0.138,,,,,
42.697,1.55,2,0.034,42.755,3.11,4.001,0.058,42.729,4.33,6.001,0.093,42.725,5.24,8.002,0.106,42.807,6.86,10.001,0.123,42.682,7.61,12,0.139,,,,,
43.074,1.55,2,0.034,43.103,3.11,4.001,0.058,43.077,4.33,6.001,0.093,43.103,5.23,8.002,0.105,43.156,6.86,10.001,0.124,43.032,7.61,12,0.138,,,,,
43.422,1.55,2,0.034,43.453,3.1,4.001,0.058,43.426,4.33,6.001,0.093,43.45,5.23,8.001,0.105,43.505,6.85,10.001,0.123,43.381,7.6,12,0.139,,,,,
43.772,1.55,2,0.034,43.801,3.1,4.001,0.058,43.803,4.32,6.001,0.093,43.8,5.23,8.001,0.106,43.854,6.85,10.001,0.124,43.758,7.6,12,0.139,,,,,
44.121,1.55,2,0.034,44.15,3.11,4.001,0.058,44.152,4.33,6.001,0.093,44.149,5.22,8.001,0.105,44.203,6.84,10.001,0.123,44.108,7.6,12,0.138,,,,,
44.471,1.55,2,0.034,44.527,3.1,4.001,0.058,44.5,4.32,6.001,0.093,44.5,5.22,8.001,0.105,44.563,6.83,10.001,0.123,44.455,7.57,12,0.138,,,,,
44.819,1.55,2,0.034,44.876,3.1,4.001,0.058,44.85,4.32,6.001,0.093,44.846,5.22,8.002,0.105,44.947,6.83,10.001,0.123,44.805,7.57,12,0.138,,,,,
45.196,1.55,2,0.034,45.225,3.1,4.001,0.058,45.199,4.32,6.001,0.093,45.197,5.21,8.002,0.106,45.305,6.82,10.001,0.123,45.154,7.56,12,0.138,,,,,
45.545,1.55,2,0.034,45.573,3.1,4.001,0.058,45.577,4.32,6.001,0.093,45.573,5.21,8.002,0.105,45.665,6.82,10.001,0.123,45.529,7.56,12,0.137,,,,,
45.894,1.55,2,0.034,45.924,3.09,4.001,0.058,45.924,4.31,6.001,0.093,45.922,5.2,8.001,0.106,46.029,6.82,10.001,0.123,45.878,7.56,12,0.138,,,,,
46.243,1.55,2,0.034,46.3,3.09,4.001,0.058,46.274,4.31,6.001,0.093,46.271,5.2,8.001,0.105,46.379,6.81,10.001,0.123,46.228,7.55,12,0.138,,,,,
46.592,1.55,2,0.034,46.648,3.09,4.001,0.058,46.622,4.31,6.001,0.093,46.621,5.2,8.001,0.105,46.728,6.81,10.001,0.123,46.577,7.55,12,0.137,,,,,
46.968,1.55,2,0.034,46.998,3.09,4.001,0.058,46.973,4.31,6.001,0.093,47.013,5.2,8.001,0.105,47.077,6.81,10.001,0.122,46.927,7.54,12,0.137,,,,,
47.316,1.55,2,0.034,47.347,3.09,4.001,0.058,47.322,4.31,6.001,0.093,47.371,5.19,8.001,0.105,47.426,6.8,10.001,0.122,47.286,7.55,12,0.137,,,,,
47.667,1.55,2,0.034,47.696,3.09,4.001,0.058,47.698,4.31,6.001,0.093,47.721,5.19,8.001,0.105,47.802,6.79,10.001,0.122,47.669,7.53,12,0.137,,,,,
48.015,1.55,2,0.034,48.072,3.09,4.001,0.058,48.047,4.3,6.001,0.093,48.097,5.19,8.001,0.105,48.15,6.79,10.001,0.122,48.026,7.54,12,0.137,,,,,
48.365,1.55,2,0.034,48.421,3.09,4.001,0.058,48.396,4.3,6.001,0.093,48.445,5.19,8.001,0.105,48.5,6.78,10.001,0.122,48.377,7.53,12,0.136,,,,,
48.712,1.55,2,0.034,48.769,3.09,4.001,0.058,48.745,4.3,6.001,0.092,48.794,5.19,8.001,0.105,48.849,6.78,10.001,0.122,48.753,7.52,12,0.136,,,,,
49.089,1.55,2,0.034,49.119,3.09,4.001,0.058,49.095,4.3,6.001,0.092,49.143,5.18,8.002,0.105,49.226,6.78,10.001,0.122,49.102,7.52,12,0.136,,,,,
49.437,1.55,2,0.034,49.468,3.09,4.001,0.058,49.444,4.3,6.001,0.092,49.492,5.18,8.002,0.105,49.574,6.76,10.001,0.122,49.452,7.51,12,0.136,,,,,
49.788,1.55,2,0.034,49.844,3.08,4.001,0.058,49.82,4.3,6.001,0.092,49.868,5.18,8.001,0.105,49.923,6.76,10.001,0.122,49.801,7.5,12,0.136,,,,,
