10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
28.563,10.01,99.687,28.683,20,204.782,28.931,30.01,294.773,28.605,39.97,370.155,28.877,49.99,429.511,28.635,60,445.343
28.952,10.02,102.468,29.063,19.99,204.822,29.292,29.97,293.703,29.008,40,372.97,29.234,49.98,430.164,28.997,60.03,442.258
29.315,9.99,96.381,29.424,20.01,207.462,29.694,29.97,298.315,29.412,39.99,374.294,29.639,50.03,425.216,29.399,60.01,445.123
29.692,10.01,104.109,29.81,20.08,209.739,30.098,29.99,292.269,29.778,40.01,372.417,30.042,50.07,422.959,29.785,60.02,442.067
30.095,9.99,102.023,30.175,20.01,204.782,30.464,30,296.865,30.136,40.05,374.126,30.407,50.04,426.851,30.149,60.02,442.957
30.459,9.99,101.851,30.58,20,209.698,30.824,30,294.911,30.541,39.99,374.21,30.766,50.02,428.559,30.515,59.96,445.023
30.819,9.98,95.171,30.945,19.96,205.31,31.225,30,299.697,30.943,40.02,373.189,31.143,49.98,429.316,30.876,59.98,443.123
31.195,10.01,103.549,31.303,20.02,207.385,31.628,30.01,298.571,31.31,40,372.168,31.507,49.98,426.643,31.251,60,441.367
31.56,10.02,97.989,31.678,19.96,207.462,32.017,30,299.572,31.669,39.99,373.658,31.869,50.01,425.249,31.655,60.07,445.468
31.921,10.02,101.348,32.044,19.97,209.377,32.381,29.99,293.337,32.071,40.04,371.616,32.227,49.98,422.79,32.02,60.05,444.841
32.28,9.98,100.266,32.405,20.04,202.504,32.757,30.01,298.944,32.458,40.02,374.043,32.594,50.01,424.406,32.38,60.03,440.502
32.645,9.97,100.266,32.792,20.03,206.447,33.161,30,297.184,32.823,39.97,374.377,32.996,50.04,424.939,32.782,60.04,444.86
32.994,9.97,105.749,33.156,20,201.646,33.538,30.01,298.633,33.227,39.99,369.494,33.36,50.03,419.476,33.186,60,443.71
33.398,10.01,100.191,33.56,19.98,207.344,33.912,30.01,298.245,33.595,40.03,372.002,33.721,50.02,421.193,33.552,59.99,440.787
33.764,10.01,105.749,33.964,19.99,205.431,34.301,30.01,299.199,33.953,40.03,370.128,34.109,50.02,423.133,33.91,59.97,439.157
34.124,10.03,101.851,34.328,19.98,205.837,34.676,30,299.453,34.355,40,367.481,34.474,49.99,426.137,34.299,59.97,440.325
34.483,10.02,107.468,34.69,19.97,206.893,35.041,30,298.625,34.76,40.01,368.722,34.878,49.96,426.567,34.663,60.03,440.607
34.848,10.04,106.988,35.075,20.06,209.615,35.444,30.01,299.448,35.124,39.99,374.645,35.281,49.97,422.927,35.068,60.07,439.22
35.251,9.98,94.629,35.441,20.07,206.488,35.811,30.01,293.719,35.482,40,367.703,35.645,50.05,421.966,35.454,60.05,438.577
35.617,9.98,97.989,35.845,19.99,206.57,36.173,30,300.076,35.859,40.01,369.659,36.005,50.06,425.41,35.837,60.01,435.808
35.976,9.99,106.368,36.21,19.95,210.351,36.572,29.98,297.873,36.225,40.02,368.31,36.408,50.06,424.332,36.194,59.98,437.955
36.352,9.99,93.544,36.57,19.98,207.585,36.976,29.97,298.509,36.583,40.01,368.861,36.81,49.99,423.164,36.599,59.94,437.474
36.717,9.97,98.062,36.945,19.99,202.912,37.365,30,298.439,36.988,40.01,371.835,37.177,49.98,420.269,36.964,59.93,437.114
37.079,9.97,97.952,37.334,20.06,208.724,37.729,30,295.98,37.391,39.98,374.01,37.537,49.99,420.611,37.324,60.07,436.753
37.48,10.01,99.146,37.715,20,210.754,38.106,30.03,299.329,37.757,39.98,374.645,37.939,49.99,423.282,37.699,60.07,436.633
37.884,10.02,100.883,38.075,19.95,203.682,38.508,30.02,299.448,38.114,40.01,373.157,38.325,50,422.322,38.087,60.04,435.632
38.25,10.01,101.889,38.479,19.95,204.903,38.875,30.02,300.456,38.49,40.02,372.522,38.691,49.99,421.894,38.468,60.01,438.655
38.61,10.02,107.427,38.881,20.01,208.6,39.232,29.96,297.997,38.895,40.04,372.272,39.094,49.99,426.288,38.828,59.92,437.792
38.985,10.03,99.725,39.247,19.98,207.75,39.636,29.97,297.812,39.262,40,374.143,39.462,50,422.867,39.215,59.91,435.152
39.35,10,106.467,39.604,20.07,205.878,40.04,29.99,297.626,39.621,39.99,367.127,39.82,49.99,423.515,39.58,59.98,438.327
39.709,10,105.828,40.009,20.06,207.016,40.444,30,295.98,40.024,39.99,368.53,40.224,49.99,416.798,39.987,60.07,436.207
40.069,9.99,103.569,40.413,19.97,205.798,40.808,30.01,300.898,40.425,40,371.887,40.626,50.01,420.523,40.349,60.06,433.952
40.435,10,107.608,40.778,19.98,209.698,41.168,30.03,299.074,40.794,40,372.105,40.991,50.02,424.058,40.707,60.04,436.844
40.838,10.01,94.647,41.139,19.95,207.989,41.571,30.03,299.89,41.151,40,372.573,41.35,50.02,423.204,41.112,60.03,434.829
41.204,9.98,95.803,41.527,19.99,207.016,41.976,29.96,297.122,41.554,40,372.022,41.755,50.03,417.874,41.514,59.96,436.482
41.564,9.96,96.291,41.889,19.97,206.205,42.341,30,298.006,41.941,39.99,371.17,42.158,50.06,422.788,41.882,59.94,435.604
41.941,10,98.604,42.293,20.07,208.072,42.701,30.03,292.972,42.306,40,372.957,42.545,50,421.612,42.239,59.97,434.486
42.306,9.98,105.366,42.66,20.03,207.544,43.102,29.98,298.757,42.71,39.99,372.406,42.918,49.97,422.039,42.644,60.03,433.747
42.666,10.01,106.988,43.018,20.03,203.766,43.508,29.99,297.316,43.075,40,372.406,43.285,50,419.273,43.047,60.02,433.009
43.069,10.02,106.888,43.394,19.98,205.798,43.87,30.01,297.378,43.434,40.02,368.2,43.688,50.02,419.17,43.413,60.04,433.524
43.472,10.01,104.109,43.782,19.99,205.96,44.23,30.01,298.888,43.838,39.97,368.283,44.057,49.98,424.4,43.773,60.06,433.901
43.861,10.03,97.934,44.162,19.95,203.968,44.608,29.99,299.64,44.243,40.02,372.622,44.414,49.96,419.829,44.147,59.98,432.272
44.241,10,96.869,44.522,19.95,207.462,44.972,29.99,298.261,44.607,40.04,368.804,44.819,49.98,419.933,44.512,60,430.027
44.6,10.01,99.65,44.911,20.02,209.336,45.332,29.99,293.917,44.969,40,370.838,45.205,50.08,424.513,44.872,59.97,430.661
45.003,10,99.762,45.276,20.04,204.009,45.735,29.97,297.184,45.354,40.02,372.239,45.57,50.03,417.495,45.277,59.94,431.552
45.369,9.97,106.368,45.678,20.08,206.893,46.139,30,293.033,45.718,40.01,366.388,45.975,49.99,420.152,45.68,59.99,431.944
45.728,10,98.641,46.067,20.02,201.695,46.504,30,300.21,46.124,40,370.921,46.34,49.97,423.879,46.045,60.04,433.208
46.131,10.02,98.08,46.439,19.93,206.205,46.862,30.02,298.757,46.526,39.97,371.388,46.7,49.98,419.313,46.405,60.04,428.337
46.48,10,106.448,46.806,19.93,205.188,47.239,29.99,291.722,46.891,39.97,371.821,47.101,50,421.325,46.799,60.08,430.592
46.83,10,100.229,47.195,19.96,210.838,47.605,29.99,297.378,47.25,39.99,374.406,47.504,50,416.556,47.157,60,430.847
47.206,9.99,99.669,47.558,20.05,204.416,47.964,29.98,292.85,47.654,40.02,371.522,47.892,50.02,418.785,47.532,60,429.481
47.571,10,101.33,47.924,20,207.544,48.369,30.02,299.769,48.058,40.02,370.205,48.269,50,418.463,47.9,59.99,430.607
47.931,9.99,103.549,48.283,19.98,208.848,48.773,30.04,299.137,48.423,40.02,370.339,48.633,50,422.932,48.258,59.95,427.996
48.308,10,95.731,48.659,20.06,205.878,49.136,30.01,300.901,48.782,40.04,372.288,49.038,50,420.807,48.636,59.97,427.621
48.673,10,95.225,49.063,19.96,207.667,49.495,30,295.807,49.185,40,369.572,49.403,50.01,416.879,49.039,59.97,426.019
49.032,10.02,101.386,49.43,20.06,207.75,49.888,30.01,292.651,49.587,39.97,370.454,49.763,50,415.092,49.402,59.96,426.411
49.407,9.98,100.883,49.789,20.04,205.554,50.247,30,300.65,49.955,39.98,370.972,50.164,49.99,419.015,49.763,60.18,428.311
49.758,9.98,102.449,50.191,20.02,207.344,50.625,29.99,294.482,50.314,39.96,367.705,50.551,50.01,419.864,50.166,60.16,426.666
50.161,9.99,98.549,50.594,20.01,208.278,50.99,30,300.019,50.702,40.02,366.909,50.919,50,417.959,50.53,60.06,428.791
50.526,10,96.905,50.959,19.99,205.269,51.348,29.99,296.813,51.067,40.02,369.24,51.322,50.01,420.722,50.89,59.94,429.42
50.886,10.01,94.14,51.319,19.92,207.344,51.753,30,292.911,51.47,40.03,367.54,51.696,50.01,417.329,51.251,59.95,427.684
51.289,10.02,100.341,51.696,19.92,207.914,52.157,30,297.502,51.873,40.02,371.188,52.1,50.02,420.722,51.616,59.86,429.566
51.691,10.03,107.488,52.072,19.97,206.283,52.558,29.99,293.094,52.237,39.96,371.655,52.465,50,415.222,52.02,59.89,425.845
52.057,10.02,109.188,52.475,20.04,207.256,52.925,29.99,295.047,52.597,39.97,371.188,52.824,50.03,419.563,52.409,60.01,427.111
52.417,10,93.649,52.878,19.98,206.283,53.285,29.99,296.249,53.001,40.02,369.457,53.226,50.02,418.395,52.775,59.98,425.993
52.793,9.97,103.608,53.243,20.07,210.462,53.687,29.99,297.626,53.405,40.02,370.771,53.632,49.98,413.849,53.148,59.99,427.857
53.159,9.97,99.146,53.603,20.1,206.324,54.089,29.99,298.639,53.77,40.01,370.472,53.996,49.96,419.986,53.552,60.07,424.903
53.518,9.97,102.468,54.006,19.96,205.472,54.457,30.01,292.286,54.13,39.97,370.555,54.356,49.97,418.828,53.917,60.03,426.631
53.921,9.98,95.749,54.393,19.94,209.947,54.816,30.01,299.453,54.534,39.97,366.579,54.73,50,419.891,54.277,60,424.159
54.326,10.02,99.146,54.773,19.97,204.741,55.221,30,293.292,54.934,40.01,367.346,55.121,50,421.375,54.681,60,426.655
54.689,10.02,97.952,55.136,20.02,206.123,55.621,29.98,292.468,55.323,40.01,368.825,55.504,50.02,418.63,55.083,59.94,425.911
55.049,10,97.952,55.538,20.07,208.32,55.987,30,301.404,55.706,40.04,369.757,55.862,50.04,415.773,55.45,59.94,425.791
55.425,10.01,100.883,55.942,19.98,207.098,56.348,30.03,292.987,56.065,40.02,371.787,56.264,50.03,415.978,55.808,59.98,425.802
55.791,10,103.163,56.33,20,206.164,56.75,30.02,296.813,56.466,39.97,369.84,56.666,50,420.106,56.184,60.03,423.587
56.15,10,101.424,56.703,19.95,209.336,57.153,30,296.064,56.833,39.98,369.923,57.031,49.97,416.515,56.573,60.08,421.376
56.527,10,95.26,57.069,19.97,204.537,57.519,29.98,295.561,57.193,39.96,372.002,57.393,49.97,417.154,56.954,60.04,422.236
56.894,9.99,98.623,57.457,19.96,208.113,57.878,29.99,299.707,57.596,40.01,367.428,57.796,50,416.628,57.313,60,418.545
57.251,9.98,92.459,57.821,20.02,206.164,58.282,29.98,297.572,57.999,40.06,366.88,58.204,50.02,415.258,57.717,60,423.36
57.627,10.02,100.36,58.226,20.08,212.381,58.684,29.98,293.978,58.365,40.03,365.949,58.563,50,418.215,58.083,59.98,422.511
57.993,10.04,96.941,58.591,20.1,206.324,59.074,30.01,295.93,58.724,39.98,370.056,58.923,50.03,420.75,58.441,60,421.282
58.353,9.99,97.465,58.952,20.01,209.377,59.454,30.01,295.489,59.099,39.96,369.125,59.327,50.01,414.208,58.845,59.96,421.163
58.713,9.99,98.678,59.354,19.97,207.18,59.813,30.01,300.65,59.505,39.98,371.667,59.731,49.97,417.585,59.247,59.97,420.555
59.079,9.98,101.33,59.756,19.94,208.476,60.217,30.03,296.504,59.869,40.03,371.07,60.117,49.98,414.002,59.637,59.98,420.197
59.465,10.02,103.067,60.122,19.94,206,60.581,29.98,290.776,60.229,40.03,366.332,60.494,50,416.224,60,60.08,421.933
59.847,9.98,97.465,60.481,19.93,206.811,60.941,29.97,299.017,60.633,40.01,371.452,60.859,50.02,416.749,60.377,60.08,421.435
60.206,10,101.386,60.857,19.96,208.196,61.316,29.99,292.24,61.034,39.98,369.889,61.261,50.03,415.484,60.78,60,423.777
60.612,10.01,104.168,61.224,20.02,207.626,61.683,30.03,295.879,61.401,39.95,369.59,61.63,50.06,417.593,61.144,59.9,417.507
61.013,10.02,96.905,61.582,20.05,206.611,62.047,30.03,299.333,61.759,39.99,370.82,61.992,50.02,414.434,61.506,59.93,418.495
61.38,10.01,95.874,61.99,20.06,209.004,62.418,30,294.678,62.17,40.02,370.021,62.39,49.95,412.109,61.887,59.94,418.518
61.738,10.01,101.424,62.391,20.05,207.989,62.82,30,298.012,62.568,40.04,367.78,62.794,49.93,419.285,62.285,60.03,419.622
62.147,9.98,96.923,62.777,19.97,210.545,63.187,30,296.636,62.943,40.02,365.072,63.158,49.93,414.444,62.66,60.06,419.513
62.545,9.98,105.386,63.152,20.03,211.408,63.544,29.98,299.582,63.344,39.99,367.48,63.516,50,413.601,63.063,60.01,415.717
62.909,10.01,101.443,63.518,19.96,203.968,63.948,29.97,300.149,63.748,39.98,370.57,63.893,50,413.18,63.429,60.09,421.365
63.27,9.96,99.687,63.921,19.99,205.107,64.352,29.98,298.261,64.114,39.96,370.105,64.298,50.01,412.338,63.788,60.02,417.069
63.628,9.99,99.725,64.286,19.98,208.724,64.716,30.01,297.316,64.473,39.98,368.245,64.663,50.01,417.709,64.192,59.96,420.624
63.984,10.01,100.864,64.644,20.08,208.113,65.078,30.01,300.776,64.876,40.03,368.759,65.023,50.01,417.392,64.595,59.86,418.062
64.342,10.02,99.781,65.047,20.03,208.278,65.479,30.02,298.893,65.28,40.02,367.697,65.424,50,416.239,64.961,59.96,417.951
64.693,10.03,104.226,65.453,19.95,203.888,65.883,30.01,292.407,65.645,40.02,368.162,65.829,50.03,414.563,65.321,60.04,418.445
65.079,10.03,109.269,65.818,19.92,204.294,66.25,29.98,297.448,66.004,40.02,369.723,66.194,50,415.397,65.724,60.08,416.503
65.445,10,106.948,66.176,20,206.57,66.609,29.96,291.799,66.391,39.98,369.473,66.552,50,414.46,66.109,60.11,413.811
65.848,9.97,98.08,66.553,19.97,206.205,67.011,30,298.012,66.757,39.97,369.855,66.94,50.02,417.611,66.475,60.02,413.445
66.215,9.98,103.743,66.94,20.03,209.336,67.414,30,300.337,67.159,39.97,364.99,67.305,50.01,415.301,66.88,60,413.575
