10A,,,20A,,,30A,,,40A,,,50A,,,60A,,
Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W),Time,Current (A),Power Output (W)
21.963,10,85.245,22.331,20.01,202.688,22.17,30,296.152,22.345,39.93,384.48,22.198,50.03,453.824,22.169,60.07,520.286
22.328,10.01,91.723,22.707,20.03,200.114,22.535,30.01,299.555,22.747,39.99,381.223,22.601,50.04,455.208,22.536,60.07,518.86
22.733,10,98.895,23.11,20.02,198.194,22.893,30.01,294.508,23.095,40.02,387.589,22.966,50.03,451.645,22.896,60.06,517.446
23.135,10,95.642,23.512,19.98,200.8,23.27,30.02,298.114,23.446,40.04,386.144,23.326,50.01,456.161,23.297,60,522.142
23.5,10,94.249,23.877,19.97,202.036,23.675,30.02,296.787,23.851,40,383.78,23.712,50.02,454.595,23.7,59.99,519.732
23.859,10.01,97.546,24.237,20.01,202.585,24.039,29.99,297.109,24.253,39.99,381.151,24.079,50.03,456.866,24.066,60.02,521.095
24.248,10,95.642,24.612,20,194.853,24.4,29.98,296.258,24.62,39.99,385.59,24.482,50.05,452.757,24.426,60.04,519.13
24.611,9.99,97.546,24.979,19.99,196.575,24.803,30,296.577,24.978,40,381.223,24.884,50,455.73,24.83,60.06,516.995
25.016,10,96.912,25.338,19.98,199.048,25.189,30,295.568,25.365,40.01,386.626,25.251,49.99,454.686,25.234,60.04,519.447
25.381,10,96.261,25.742,19.98,196.608,25.582,30,299.657,25.731,40.01,379.415,25.61,50,455.886,25.599,59.99,515.683
25.74,10,86.491,26.145,20.01,198.194,25.969,30.01,295.727,26.135,40,381.634,25.997,50,450.761,25.958,60.01,522.279
26.116,10,96.881,26.511,20.05,202.482,26.333,30,293.5,26.536,40.02,382.116,26.361,50.03,456.069,26.346,60.04,520.585
26.521,10,87.834,26.869,20.02,195.372,26.737,30,297.002,26.902,40.01,386.071,26.766,50.04,457.296,26.709,60.05,514.923
26.885,10.01,86.533,27.245,19.98,195.306,27.103,30,298.225,27.261,40.01,385.926,27.13,50.03,455.365,27.059,59.99,520.63
27.244,10,89.714,27.633,19.99,197.193,27.462,29.99,296.046,27.665,40.02,382.888,27.49,50,453.709,27.463,60,520.853
27.633,9.99,98.783,28.014,19.99,202.07,27.838,30,296.311,28.052,39.98,386.217,27.866,49.99,453.187,27.866,60.02,516.759
27.996,10,92.329,28.375,19.96,196.542,28.205,30,299.864,28.418,39.94,386.553,28.233,49.99,457.451,28.23,60.02,519.761
28.401,10,89.092,28.761,20.03,194.655,28.562,30,299.657,28.821,39.96,386.334,28.591,49.98,453.096,28.59,60.04,512.515
28.789,10,98.863,29.126,20,197.06,28.968,30,298.114,29.186,40.03,383.418,28.968,50.01,456.499,28.965,60.04,517.248
